timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page
2023-09-02,愛知学院大学歯学部附属病院,名古屋市千種区末盛通２－１１,愛知県名古屋市千種区末盛通二丁目11,,2023年6月2日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51865,学校法人,愛知学院,三谷 章雄,"[歯科領域の一次診療, 成人の歯科矯正治療, 唇顎口蓋裂の歯科矯正治療, 顎変形症の歯科矯正治療, 著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, 口腔(くう)領域の腫瘍の治療, 唇顎口蓋裂治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, 全身麻酔, 脊椎麻酔, ]",na,na,193|154|39,na,na,38|38|,17,na,na,1
2023-09-02,愛知県がんセンター,名古屋市千種区鹿子殿１－１,愛知県名古屋市千種区鹿子殿1-1,,2023年1月23日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51860,個人,愛知県知事 大村 秀章,病院長 山本 一仁,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, ,, 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅気管切開患者指導管理, ]",na,1|1|0,na,na,2|1|1,324,na,na,1
2023-09-02,愛知県精神医療センター,名古屋市千種区徳川山町４－１－７,愛知県名古屋市千種区徳川山町四丁目1-7,,2023年1月31日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51859,個人,愛知県,院長 高木 宏,na,na,na,na,"[適時及び適温による食事の提供, 病床外での食事, 視覚障害者への配慮（点字ブロック設置）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]",na,na,na,0||0,na,na,na,,na,na,1
2023-09-02,医療法人東恵会 星ケ丘マタニティ病院,名古屋市千種区井上町２７,愛知県名古屋市千種区井上町27,,2023年3月9日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51869,個人,近藤 東臣,近藤 裕子,"[歯科領域の一次診療, ]","[埋伏歯抜歯, ]",na,na,"[適時及び適温による食事の提供, 選択可能な入院食の提供, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[硬膜外麻酔, , ]","[在宅自己注射指導管理, 在宅小児経管栄養法指導管理, ]",na,1|1|0,na,na,2|1|1,22,na,na,1
2023-09-02,名古屋市立大学医学部附属東部医療センター,名古屋市千種区若水一丁目２番２３号,愛知県名古屋市千種区若水一丁目2-23,,2023年1月26日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=70672,公立大学法人,名古屋市立大学,大手 信之,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, ,, 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅自己腹膜灌(かん)流指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, 在宅気管切開患者指導管理, ]",na,2|1|1,na,na,2||2,385,na,na,1
2023-09-02,名古屋市立大学医学部附属西部医療センター,名古屋市北区平出町１丁目１番地の１,愛知県名古屋市北区平出町一丁目1-1,,2023年3月15日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=70690,個人,郡 健二郎,大原 弘隆,"[摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, 口腔(くう)領域の腫瘍の治療, 唇顎口蓋裂治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅妊娠糖尿病患者指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅悪性腫瘍等患者指導管理, 在宅悪性腫瘍患者共同指導管理, 在宅寝たきり患者処置指導管理, 在宅気管切開患者指導管理, 在宅難治性皮膚疾患処置指導管理, ]",na,8|4|4,na,na,3|1|2,385,na,na,1
2023-09-02,愛知県青い鳥医療療育センター,名古屋市西区中小田井５丁目８９,愛知県名古屋市西区中小田井五丁目89,,2023年1月30日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51896,個人,愛知県,別府 玲子,"[著しく歯科診療が困難な者の歯科治療, ]",na,na,na,"[適時及び適温による食事の提供, 病床外での食事, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[神経ブロック, ]","[在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, 在宅気管切開患者指導管理, ]",na,1|1|0,na,na,3|2|1,148,na,na,1
2023-09-02,医療法人北林会 北林病院,名古屋市中村区中村町７丁目５８番地,愛知県名古屋市中村区中村町七丁目58,,2023年3月7日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51906,医療法人,北林会,請井 伸行,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[適時及び適温による食事の提供, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 健康増進法第28条第13号に規定する特定屋外喫煙場所の設置, , 駐車場の有無（契約駐車場も含む）]",na,na,na,1|1|,na,na,2|1|1,,na,na,1
2023-09-02,日本赤十字社愛知医療センター名古屋第一病院,名古屋市中村区道下町３丁目３５番地,愛知県名古屋市中村区道下町三丁目35,,2023年1月30日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51903,個人,日本赤十字社,錦見 尚道,"[摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, 口腔(くう)領域の腫瘍の治療, 唇顎口蓋裂治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, ,, 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, ,, 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, ,, ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅妊娠糖尿病患者指導管理, 在宅自己腹膜灌(かん)流指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅迷走神経電気刺激治療指導管理, 在宅肺高血圧症患者指導管理, 在宅気管切開患者指導管理, 在宅難治性皮膚疾患処置指導管理, 在宅経腸投薬指導管理, ]",na,10|10|0,na,na,7|7|0,672,na,na,1
2023-09-02,国家公務員共済組合連合会 名城病院,名古屋市中区三の丸１－３－１,愛知県名古屋市中区三ﾉ丸一丁目3-1,,2023年1月29日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51951,個人,国家公務員共済組合連合会,後藤 秀実,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, ]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, 唇顎口蓋裂治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, , 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅半固形栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, ]",na,2|2|0,na,na,3|0|3,186,na,na,1
2023-09-02,中日病院,名古屋市中区丸の内３－１２－３,愛知県名古屋市中区丸ﾉ内三丁目12-3,,2023年1月23日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51959,個人,中日新聞社健康保険組合,鈴木 正之,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 聴覚障害者への配慮（施設内情報表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[全身麻酔, , 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅自己導尿指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, 在宅気管切開患者指導管理, ]",na,1|1|0,na,na,2|2|0,35,na,na,1
2023-09-02,独立行政法人国立病院機構 名古屋医療センター,名古屋市中区三の丸４－１－１,愛知県名古屋市中区三ﾉ丸四丁目1-1,,2023年1月31日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51948,独立行政法人,国立病院機構本部 理事長 楠岡 英雄,独立行政法人 国立病院機構 名古屋医療センター院長 長谷川 好規,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, 唇顎口蓋裂治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（音声による情報の伝達）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, ,, 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅悪性腫瘍等患者指導管理, 在宅寝たきり患者処置指導管理, 在宅振戦等刺激装置治療指導管理, 在宅迷走神経電気刺激治療指導管理, 在宅気管切開患者指導管理, ]",na,6|4|2,na,na,3|1|2,441,na,na,1
2023-09-02,社会福祉法人聖霊会聖霊病院,名古屋市昭和区川名山町５６,愛知県名古屋市昭和区川名山町56,,2023年1月16日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51875,社会福祉法人,聖霊会聖霊病院理事長 内海眞,春原 晶代,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（音声による情報の伝達）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, , 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅妊娠糖尿病患者指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅半固形栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅悪性腫瘍等患者指導管理, 在宅寝たきり患者処置指導管理, 在宅自己疼(とう)痛管理指導管理, 在宅気管切開患者指導管理, 在宅難治性皮膚疾患処置指導管理, 在宅経腸投薬指導管理, 在宅経肛門的自己洗腸指導管理, ]",na,2|2|0,na,na,2|2|0,146,na,na,1
2023-09-02,名古屋大学医学部附属病院,名古屋市昭和区鶴舞町６５番地,愛知県名古屋市昭和区鶴舞町65,,2023年1月27日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51871,国立大学法人,東海国立大学機構（機構長）,小寺 泰弘,"[歯科領域の一次診療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, 唇顎口蓋裂治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, ,, 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅妊娠糖尿病患者指導管理, 在宅自己腹膜灌(かん)流指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅半固形栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅悪性腫瘍等患者指導管理, 在宅寝たきり患者処置指導管理, 在宅自己疼(とう)痛管理指導管理, 在宅振戦等刺激装置治療指導管理, 在宅迷走神経電気刺激治療指導管理, 在宅仙骨神経刺激療法指導管理, 在宅肺高血圧症患者指導管理, 在宅気管切開患者指導管理, 在宅難治性皮膚疾患処置指導管理, 在宅植込型補助人工心臓（非拍動流型）指導管理, 在宅経腸投薬指導管理, 在宅腫瘍治療電場療法指導管理, ]",na,25|15|10,na,na,7|7|0,680,na,na,1
2023-09-02,日本赤十字社愛知医療センター名古屋第二病院,名古屋市昭和区妙見町２番地の９,愛知県名古屋市昭和区妙見町2-9,,2023年1月23日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51872,個人,日本赤十字社 社長 清家 篤,佐藤 公治,"[著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, 口腔(くう)領域の腫瘍の治療, 唇顎口蓋裂治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, ,, 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, ,, ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅小児低血糖症患者指導管理, 在宅自己腹膜灌(かん)流指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅悪性腫瘍等患者指導管理, 在宅寝たきり患者処置指導管理, 在宅自己疼(とう)痛管理指導管理, 在宅肺高血圧症患者指導管理, 在宅気管切開患者指導管理, 在宅植込型補助人工心臓（非拍動流型）指導管理, ]",na,4|4|0,na,na,6|6|0,609,na,na,1
2023-09-02,名古屋市総合リハビリテーションセンター附属病院,名古屋市瑞穂区弥富町字密柑山１番地の２,愛知県名古屋市瑞穂区弥富町字密柑山1-2,,2023年1月31日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51886,個人,名古屋市長 河村 たかし,日比野 敬明,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎骨骨折治療, 口唇、舌若しくは口腔(くう)粘膜の炎症又は外傷の治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 聴覚障害者への配慮（手話対応）, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（音声による情報の伝達）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[神経ブロック, ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, 在宅経腸投薬指導管理, ]",na,0|0|0,na,na,0|0|0,72,na,na,1
